probe chr TSS NAME strand
196513 12 2113701 DCP1B -
167227 5 112312399 DCP2 +
28960 11 126173647 DCPS +
149095 1 155006300 DCST1 +
127579 1 155006257 DCST2 -
81501 8 105351315 DCSTAMP +
1638 13 95131936 DCT -
1635 4 183839089 DCTD -
1639 2 74619214 DCTN1 -
10540 12 57941114 DCTN2 -
11258 9 34620515 DCTN3 -
51164 5 150138671 DCTN4 -
84516 16 23652713 DCTN5 +
10671 8 30013813 DCTN6 +
79077 16 30441396 DCTPP1 -
54165 3 182703741 DCUN1D1 -
55208 13 114145267 DCUN1D2 -
123879 16 20911706 DCUN1D3 -
23142 4 52709166 DCUN1D4 +
84259 11 102962944 DCUN1D5 -
51181 17 79995608 DCXR -
79016 19 17420327 DDA1 +
23576 1 86043933 DDAH1 -
23564 6 31698394 DDAH2 -
1642 11 61110068 DDB1 -
1643 11 47236493 DDB2 +
1644 7 50633154 DDC -
80821 14 53620000 DDHD1 -
23259 8 38082736 DDHD2 +
414301 11 103907308 DDI1 +
84301 1 15943995 DDI2 +
1649 12 57914300 DDIT3 -
54541 10 74033678 DDIT4 +
115265 4 101111939 DDIT4L -
23109 12 49393092 DDN -
8528 6 110736765 DDO -
1650 1 20988000 DDOST -
780 6 30844198 DDR1 +
4921 1 162601163 DDR2 +
65992 20 3185331 DDRGK1 -
1652 22 24322660 DDT -
100037417 22 24309089 DDTL +
1653 2 15731302 DDX1 +
1662 11 108535752 DDX10 +
1663 12 31226779 DDX11 +
10521 22 38903665 DDX17 -
8886 2 118572226 DDX18 +
55308 16 70380732 DDX19A +
11269 16 70323566 DDX19B +
11218 1 112297867 DDX20 +
9188 10 70715884 DDX21 +
9416 12 49246625 DDX23 -
57062 14 94547591 DDX24 -
29118 11 125773271 DDX25 +
55661 20 47835884 DDX27 +
55794 16 68057770 DDX28 -
64794 9 135545788 DDX31 -
10212 19 14530192 DDX39A -
7919 6 31510225 DDX39B -
54514 5 55033845 DDX4 +
51428 5 176944470 DDX41 -
11325 17 61850963 DDX42 +
55510 6 74104471 DDX43 +
9879 5 134094469 DDX46 +
51202 12 12966250 DDX47 +
54555 19 19030484 DDX49 +
1655 17 62504317 DDX5 -
79009 10 70661034 DDX50 +
317781 12 132628880 DDX51 -
11056 17 36003493 DDX52 -
79039 12 113623284 DDX54 -
57696 12 124086624 DDX55 +
54606 7 44614650 DDX56 -
23586 9 32526322 DDX58 -
83479 1 200639097 DDX59 -
1656 11 118661858 DDX6 -
55601 4 169239958 DDX60 -
91351 4 169458937 DDX60L -
10522 11 706715 DEAF1 -
50514 9 117904097 DEC1 +
1666 8 91013633 DECR1 +
26063 16 451826 DECR2 +
9191 1 161102478 DEDD -
162989 19 42724292 DEDD2 -
50619 6 35265595 DEF6 +
54849 16 90014333 DEF8 +
1667 8 6837602 DEFA1 -
728358 8 6875778 DEFA1B -
1668 8 6875823 DEFA3 -
1669 8 6795860 DEFA4 -
1670 8 6914256 DEFA5 -
1671 8 6783598 DEFA6 -
1672 8 6735544 DEFB1 -
414325 8 7738726 DEFB103A +
55894 8 7287870 DEFB103B -
140596 8 7693993 DEFB104A +
503618 8 7332604 DEFB104B -
245908 8 7681411 DEFB105A -
504180 8 7345191 DEFB105B +
245909 8 7682694 DEFB106A +
503841 8 7343922 DEFB106B -
245910 8 7673238 DEFB107A -
503614 8 7353368 DEFB107B +
245911 11 71544246 DEFB108B +
245913 6 49989694 DEFB110 -
245915 6 50016364 DEFB112 -
245927 6 49937338 DEFB113 -
245928 6 49931818 DEFB114 -
245929 20 29845467 DEFB115 +
245930 20 29896388 DEFB116 -
117285 20 29956421 DEFB118 +
245932 20 29978406 DEFB119 -
245934 20 30000641 DEFB121 -
245936 20 30028322 DEFB123 +
245937 20 30064560 DEFB124 -
245938 20 67891 DEFB125 +
81623 20 123010 DEFB126 +
140850 20 138111 DEFB127 +
245939 20 170322 DEFB128 -
140881 20 207899 DEFB129 +
245940 8 11929256 DEFB130 -
644414 4 9446260 DEFB131 +
400830 20 238377 DEFB132 +
403339 6 49917157 DEFB133 -
613211 8 11853821 DEFB134 -
613209 8 11839830 DEFB135 +
613210 8 11832108 DEFB136 -
1673 8 7752151 DEFB4A +
100289462 8 7274385 DEFB4B -
8560 1 224363458 DEGS1 +
123099 14 100626500 DEGS2 -
7913 6 18265054 DEK -
57706 9 126692431 DENND1A -
163486 1 197744826 DENND1B -
79958 19 6482568 DENND1C -
27147 7 140373793 DENND2A -
163259 1 115213043 DENND2C -
79961 1 111747157 DENND2D -
22898 8 142127377 DENND3 +
10260 15 66084631 DENND4A -
9909 1 153919172 DENND4B -
55667 9 19230433 DENND4C +
23258 11 9286937 DENND5A -
160518 12 31744031 DENND5B -
201627 3 57678816 DENND6A -
414918 22 50765489 DENND6B -
8562 12 123237321 DENR +
55635 1 68962904 DEPDC1 -
55789 5 59996017 DEPDC1B -
120863 12 100660857 DEPDC4 -
9681 22 32149944 DEPDC5 +
91614 11 33037410 DEPDC7 +
64798 8 120885957 DEPTOR +
51071 12 16064106 DERA +
79139 8 124054663 DERL1 -
51009 17 5390131 DERL2 -
91319 22 24181315 DERL3 -
1674 2 220283099 DES +
27351 22 42017100 DESI1 -
51029 1 244816237 DESI2 +
55070 15 89089906 DET1 -
28955 16 11036317 DEXI -
1676 1 10532583 DFFA -
1677 1 3773845 DFFB +
1687 7 24809244 DFNA5 -
25861 9 117267730 DFNB31 -
494513 2 179316163 DFNB59 +
8694 8 145550573 DGAT1 -
84649 11 75470557 DGAT2 +
8220 22 19132197 DGCR14 -
9993 22 19109967 DGCR2 -
8214 22 18893541 DGCR6 +
85359 22 20307603 DGCR6L -
54487 22 20067755 DGCR8 +
1606 12 56321103 DGKA +
1607 7 15014402 DGKB -
8527 2 234263153 DGKD +
8526 17 54911460 DGKE +
1608 3 186080026 DGKG -
160851 13 42614176 DGKH +
9162 7 137531838 DGKI -
1609 4 980683 DGKQ -
8525 11 46354455 DGKZ +
1716 2 74153953 DGUOK +
1718 1 55352891 DHCR24 -
1717 11 71163914 DHCR7 -
79947 1 26758773 DHDDS +
27294 19 49436939 DHDH +
1719 5 79950802 DHFR -
200895 3 93782233 DHFRL1 -
50846 12 49488602 DHH -
1723 16 72042487 DHODH +
1725 19 12792716 DHPS -
115817 14 24769039 DHRS1 -
79154 17 34948228 DHRS11 +
79758 13 52378293 DHRS12 -
147015 17 27230089 DHRS13 -
10202 14 24099324 DHRS2 +
9249 1 12677737 DHRS3 -
10901 14 24422795 DHRS4 +
317749 14 24439148 DHRS4L2 +
51635 14 60636574 DHRS7 -
25979 17 21026677 DHRS7B +
201140 17 9694614 DHRS7C -
10170 2 169921299 DHRS9 +
55526 10 12110971 DHTKD1 +
1665 4 24586173 DHX15 -
8449 6 30640814 DHX16 -
54505 5 54603550 DHX29 -
22907 3 47844399 DHX30 +
55760 10 127585005 DHX32 -
56919 17 5372380 DHX33 -
9704 19 47852538 DHX34 +
60625 20 37590942 DHX35 +
170506 3 154042286 DHX36 -
57647 12 125473668 DHX37 -
9785 16 72127461 DHX38 +
79665 17 57642886 DHX40 +
90957 2 39103075 DHX57 -
79132 17 40264751 DHX58 -
1659 17 41561233 DHX8 +
1660 1 182808504 DHX9 +
56616 12 122712081 DIABLO -
1729 5 140998622 DIAPH1 -
81624 13 60738121 DIAPH3 -
23405 14 95624347 DICER1 -
11083 20 61569304 DIDO1 -
27042 1 210001352 DIEXF +
27292 5 61699766 DIMT1 -
1733 1 54356912 DIO1 +
1734 14 80854100 DIO2 -
1735 14 102027688 DIO3 +
23181 21 47878812 DIP2A +
57609 12 50898768 DIP2B +
22982 10 735683 DIP2C -
148252 19 2721416 DIRAS1 -
54769 9 93405386 DIRAS2 -
9077 1 68517314 DIRAS3 -
116093 2 189654831 DIRC1 -
84925 3 122513642 DIRC2 +
22894 13 73356234 DIS3 -
115752 15 66585555 DIS3L +
129563 2 232825955 DIS3L2 +
27185 1 231762561 DISC1 +
84976 1 222988406 DISP1 +
85455 15 40650436 DISP2 +
85458 11 111797868 DIXDC1 +
22943 10 54074056 DKK1 +
27123 4 108204963 DKK2 -
27122 11 12031316 DKK3 -
27121 8 42234750 DKK4 -
27120 19 49865040 DKKL1 +
1737 11 111895538 DLAT +
10395 8 13373167 DLC1 -
1738 7 107531415 DLD +
9940 3 38080696 DLEC1 +
220107 13 51418075 DLEU7 -
1739 3 197026171 DLG1 -
1740 11 85338966 DLG2 -
1742 17 7123021 DLG4 -
9231 10 79686378 DLG5 -
9229 18 4455335 DLGAP1 -
9228 8 1449532 DLGAP2 +
58512 1 35395186 DLGAP3 -
22839 20 34894258 DLGAP4 +
9787 14 55658396 DLGAP5 -
8788 14 101192042 DLK1 +
65989 6 43424370 DLK2 -
28514 6 170599561 DLL1 -
10683 19 39989535 DLL3 +
54567 15 41221538 DLL4 +
1743 14 75348594 DLST +
1745 2 172949468 DLX1 +
1746 2 172967628 DLX2 -
1747 17 48072588 DLX3 -
1748 17 48046334 DLX4 +
1749 7 96654409 DLX5 -
1750 7 96634860 DLX6 +
55929 1 44679127 DMAP1 +
1755 10 124320181 DMBT1 +
127343 1 46972668 DMBX1 +
11144 22 38966291 DMC1 -
29958 5 78531861 DMGDH -
93099 19 36004560 DMKN -
1758 4 88571459 DMP1 +
1760 19 46285810 DMPK -
1761 9 841690 DMRT1 +
10655 9 1050354 DMRT2 +
58524 9 976964 DMRT3 +
63951 9 22446840 DMRTA1 +
63950 1 50889172 DMRTA2 -
63948 1 53925072 DMRTB1 +
63946 19 42348806 DMRTC2 +
9988 7 86781677 DMTF1 +
2039 8 21906506 DMTN +
1762 19 46296060 DMWD -
1657 5 118373467 DMXL1 +
23312 15 51915030 DMXL2 -
1763 10 70231879 DNA2 -
123872 16 84178865 DNAAF1 +
55172 14 50101948 DNAAF2 -
352909 19 55678090 DNAAF3 -
25981 3 52350335 DNAH1 +
196385 12 124247042 DNAH10 +
8701 7 21582833 DNAH11 +
201625 3 57530071 DNAH12 -
127602 1 225083964 DNAH14 +
8632 17 76573476 DNAH17 -
146754 17 7620672 DNAH2 +
55567 16 21170762 DNAH3 -
1767 5 13944652 DNAH5 -
1768 2 84743579 DNAH6 +
56171 2 196933536 DNAH7 -
1769 6 38683117 DNAH8 +
1770 17 11501748 DNAH9 +
27019 9 34457412 DNAI1 +
64446 17 72270386 DNAI2 +
3301 9 33025209 DNAJA1 +
10294 16 47007699 DNAJA2 -
9093 16 4475806 DNAJA3 +
55466 15 78556428 DNAJA4 +
3337 19 14640582 DNAJB1 -
51726 3 186285192 DNAJB11 +
54788 10 74114988 DNAJB12 -
374407 11 73661364 DNAJB13 +
79982 4 100867883 DNAJB14 -
3300 2 220143989 DNAJB2 +
11080 1 78444859 DNAJB4 +
25822 9 34989638 DNAJB5 +
10049 7 157128075 DNAJB6 +
150353 22 41258130 DNAJB7 -
165721 3 128186091 DNAJB8 -
4189 7 108210012 DNAJB9 +
64215 10 22292698 DNAJC1 -
54431 2 183580999 DNAJC10 +
55735 1 6761984 DNAJC11 -
56521 10 69597924 DNAJC12 -
23317 3 132136370 DNAJC13 +
85406 12 56224608 DNAJC14 -
29103 13 43597339 DNAJC15 +
23341 1 15853308 DNAJC16 +
55192 15 41099675 DNAJC17 -
202052 5 138780180 DNAJC18 -
131118 3 180707562 DNAJC19 -
27000 7 102985320 DNAJC2 -
134218 5 34929698 DNAJC21 +
79962 12 49740700 DNAJC22 +
120526 11 31391387 DNAJC24 +
548645 9 114393632 DNAJC25 +
51277 2 25194963 DNAJC27 -
54943 21 34864027 DNAJC28 -
5611 13 96329393 DNAJC3 +
84277 7 73097783 DNAJC30 -
3338 11 63997750 DNAJC4 +
80331 20 62526518 DNAJC5 +
85479 8 66933795 DNAJC5B +
285126 2 27498289 DNAJC5G +
9829 1 65713902 DNAJC6 +
7266 17 40173394 DNAJC7 -
22826 1 28559536 DNAJC8 -
23234 10 75008620 DNAJC9 -
83544 14 74111578 DNAL1 +
10126 22 39190203 DNAL4 -
7802 1 38022520 DNALI1 +
1773 16 3661729 DNASE1 +
1775 16 2285817 DNASE1L2 +
1776 3 58200424 DNASE1L3 -
1777 19 12992282 DNASE2 -
58511 1 84864215 DNASE2B +
373863 5 140053171 DND1 -
92737 2 230579274 DNER -
144132 11 6518490 DNHD1 +
728489 9 139258241 DNLZ -
1759 9 130965658 DNM1 +
10059 12 32832134 DNM1L +
1785 19 10828755 DNM2 +
26052 1 171810621 DNM3 +
23268 10 101769676 DNMBP -
1786 19 10341962 DNMT1 -
1788 2 25565459 DNMT3A -
1789 20 31350191 DNMT3B +
29947 21 45682099 DNMT3L -
23549 2 220264744 DNPEP -
10591 6 43197222 DNPH1 -
1791 10 98064085 DNTT +
116092 20 44420576 DNTTIP1 +
30836 1 94345474 DNTTIP2 -
8448 16 30034591 DOC2A -
8447 17 31427 DOC2B -
1793 10 128593978 DOCK1 +
55619 2 225907162 DOCK10 -
1794 5 169064251 DOCK2 +
1795 3 50712672 DOCK3 +
9732 7 111846466 DOCK4 -
80005 8 25042238 DOCK5 +
57572 19 11373157 DOCK6 -
85440 1 63153969 DOCK7 -
81704 9 214854 DOCK8 +
23348 13 99738879 DOCK9 -
83475 19 3500938 DOHH -
1796 2 74776153 DOK1 +
9046 8 21771371 DOK2 -
79930 5 176938275 DOK3 -
55715 16 57521239 DOK4 -
55816 20 53092136 DOK5 +
220164 18 67068291 DOK6 +
285489 4 3465033 DOK7 +
22845 9 131709898 DOLK -
57171 9 131843379 DOLPP1 +
29980 21 34961014 DONSON -
23033 6 83777385 DOPEY1 +
9980 21 37529080 DOPEY2 +
84444 19 2164148 DOT1L +
1798 11 118979041 DPAGT1 -
25911 10 103330317 DPCD +
135656 6 30908749 DPCR1 +
1800 16 89679716 DPEP1 +
64174 16 68034489 DPEP2 -
64180 16 68014732 DPEP3 -
8193 19 38720354 DPF1 -
5977 11 65101225 DPF2 +
8110 14 73360809 DPF3 -
1801 17 1933404 DPH1 +
1802 1 44435672 DPH2 +
285381 3 16306479 DPH3 -
51611 1 101491644 DPH5 -
89978 15 35838394 DPH6 -
92715 9 140473387 DPH7 -
8813 20 49575092 DPM1 -
8818 9 130700763 DPM2 -
54344 1 155113071 DPM3 -
57628 2 115199876 DPP10 +
10072 11 66247484 DPP3 +
1803 2 162931052 DPP4 -
1804 7 153584182 DPP6 +
29952 9 140009629 DPP7 -
54878 15 65810042 DPP8 -
91039 19 4724685 DPP9 -
151871 3 109035364 DPPA2 -
359787 12 7864050 DPPA3 +
55211 3 109056419 DPPA4 -
340168 6 74064018 DPPA5 -
503834 19 54135310 DPRX +
1805 1 168698502 DPT -
23333 7 35077883 DPY19L1 -
283417 12 64062719 DPY19L2 -
147991 19 32896449 DPY19L3 +
286148 8 95731931 DPY19L4 +
84661 2 32264881 DPY30 -
1806 1 98386605 DPYD -
1807 8 105479281 DPYS -
1808 8 26371791 DPYSL2 +
1809 5 146889619 DPYSL3 -
10570 10 134000404 DPYSL4 +
56896 2 27070615 DPYSL5 +
165545 2 74753463 DQX1 -
1810 1 93811445 DR1 +
55332 12 102271129 DRAM1 +
128338 1 111682838 DRAM2 -
10589 11 65686728 DRAP1 +
374946 1 11751786 DRAXIN +
92749 2 26624784 DRC1 +
1812 5 174871211 DRD1 -
1813 11 113346413 DRD2 -
1814 3 113918254 DRD3 -
1815 11 637293 DRD4 +
1816 4 9783258 DRD5 +
4733 22 31795509 DRG1 +
1819 17 17991200 DRG2 +
644168 10 50603497 DRGX -
29102 5 31532303 DROSHA -
1823 18 28742819 DSC1 -
1824 18 28682378 DSC2 -
1825 18 28622781 DSC3 -
1826 21 42219065 DSCAM -
57453 11 117688240 DSCAML1 -
79075 8 120868250 DSCC1 -
10311 21 38640262 DSCR3 -
10281 21 39493454 DSCR4 -
29940 6 116575336 DSE +
92126 18 65184217 DSEL -
1828 18 28898052 DSG1 +
1829 18 29078006 DSG2 +
1830 18 29027758 DSG3 +
147409 18 28956740 DSG4 +
79980 20 35402221 DSN1 -
1832 6 7541808 DSP +
1834 4 88529681 DSPP +
667 6 56819426 DST -
11034 20 17550508 DSTN +
25778 1 205180727 DSTYK -
92675 20 18568537 DTD1 +
112487 14 31926716 DTD2 -
401124 4 36283244 DTHD1 +
51514 1 212208919 DTL +
1837 18 32073254 DTNA +
1838 2 25896503 DTNB -
84062 6 15663289 DTNBP1 -
56986 15 49913177 DTWD1 +
285605 5 118324240 DTWD2 -
1840 12 113494514 DTX1 +
113878 7 76090993 DTX2 +
196403 12 57998405 DTX3 +
151636 3 122283085 DTX3L +
23220 11 58938903 DTX4 +
1841 2 242626406 DTYMK -
53905 15 45422131 DUOX1 +
50506 15 45406542 DUOX2 -
90527 15 45422136 DUOXA1 -
405753 15 45406519 DUOXA2 +
338599 10 76818272 DUPD1 -
64118 17 80023763 DUS1L -
54920 16 68021649 DUS2 +
56931 19 5791249 DUS3L -
11062 7 107203929 DUS4L +
1843 5 172198198 DUSP1 -
11221 1 221915518 DUSP10 -
8446 2 74007284 DUSP11 -
11266 1 161719548 DUSP12 +
51207 10 76868979 DUSP13 -
11072 17 35849937 DUSP14 +
128853 20 30458550 DUSP15 -
80824 12 12715317 DUSP16 -
150290 22 31063877 DUSP18 -
142679 2 183943287 DUSP19 +
1844 2 96811179 DUSP2 -
56940 6 291630 DUSP22 +
54935 1 159750722 DUSP23 +
78986 8 33457624 DUSP26 -
92235 1 167063282 DUSP27 +
285193 2 241499471 DUSP28 +
1845 17 41856356 DUSP3 -
1846 8 29208185 DUSP4 -
1847 10 112257596 DUSP5 +
1848 12 89747048 DUSP6 -
1849 3 52090566 DUSP7 -
1850 11 1593150 DUSP8 -
1854 15 48623208 DUT +
100288687 4 191005267 DUX4 +
503835 19 57678811 DUXA -
1855 1 1284730 DVL1 -
1856 17 7137864 DVL2 -
1857 3 183873176 DVL3 +
1797 6 31940069 DXO -
143241 10 82116511 DYDC1 -
84332 10 82104501 DYDC2 +
54808 18 46987717 DYM -
284254 18 52254988 DYNAP +
1778 14 102430865 DYNC1H1 +
1780 7 95401866 DYNC1I1 +
1781 2 172543919 DYNC1I2 +
51143 3 32612366 DYNC1LI1 -
1783 16 66785701 DYNC1LI2 -
79659 11 102980160 DYNC2H1 +
51626 2 44001178 DYNC2LI1 +
8655 12 120907653 DYNLL1 +
140735 17 56160776 DYNLL2 +
83658 20 33104214 DYNLRB1 +
83657 16 80574631 DYNLRB2 +
6993 6 159065771 DYNLT1 -
1859 21 38738092 DYRK1A +
9149 19 40324841 DYRK1B -
8445 12 68042118 DYRK2 +
8444 1 206808881 DYRK3 +
8798 12 4671370 DYRK4 +
8291 2 71680852 DYSF +
391475 2 207583120 DYTN -
161582 15 55800432 DYX1C1 -
55184 20 18447925 DZANK1 -
22873 13 96296957 DZIP1 -
199221 3 137834660 DZIP1L -
9666 3 108308529 DZIP3 +
1869 20 32274210 E2F1 -
1870 1 23857712 E2F2 -
1871 6 20402398 E2F3 +
1874 16 67226072 E2F4 +
1875 8 86089460 E2F5 +
1876 2 11606297 E2F6 -
144455 12 77459360 E2F7 -
79733 11 19263167 E2F8 -
1877 16 2273567 E4F1 +
85403 3 15468862 EAF1 +
55840 3 121554030 EAF2 +
55837 14 35008916 EAPP -
124454 16 23569052 EARS2 -
9166 8 110551940 EBAG9 +
1879 5 158526769 EBF1 -
64641 8 25902913 EBF2 -
253738 10 131762105 EBF3 -
57593 20 2673524 EBF4 +
10148 19 4229495 EBI3 +
340900 10 22498950 EBLN1 -
55096 3 73110810 EBLN2 +
10969 1 43736607 EBNA1BP2 -
84650 13 50265611 EBPL -
11319 10 74928813 ECD -
1889 1 21671997 ECE1 -
9718 3 183967438 ECE2 +
9427 2 233352538 ECEL1 -
1891 19 39322645 ECH1 -
55862 6 127664754 ECHDC1 -
55268 1 53392884 ECHDC2 -
79746 10 11784365 ECHDC3 +
1892 10 135187193 ECHS1 -
1632 16 2302301 ECI1 -
10455 6 4135831 ECI2 -
1893 1 150480538 ECM1 +
1842 9 95298937 ECM2 -
51295 19 11639989 ECSIT -
1894 3 172468472 ECT2 +
345930 6 139117063 ECT2L +
10913 2 109605828 EDAR -
128178 1 236511562 EDARADD +
80153 15 74988633 EDC3 -
23644 16 67906926 EDC4 +
10876 14 21214051 EDDM3A +
64184 14 21236586 EDDM3B +
9695 3 5229331 EDEM1 +
55741 20 33865928 EDEM2 -
80267 1 184724047 EDEM3 -
8721 9 139760738 EDF1 -
10085 5 83680611 EDIL3 -
1906 6 12290596 EDN1 +
1907 1 41950344 EDN2 -
1908 20 57875482 EDN3 +
1909 4 148402069 EDNRA +
1910 13 78493903 EDNRB -
26098 10 127408084 EDRF1 +
8411 12 93323107 EEA1 -
8726 11 85955586 EED +
1915 6 74233520 EEF1A1 -
1917 20 62130505 EEF1A2 -
1933 2 207024309 EEF1B2 +
1936 8 144681711 EEF1D -
9521 6 8102811 EEF1E1 -
1937 11 62342401 EEF1G -
1938 19 3985467 EEF2 -
29904 16 22217603 EEF2K +
60678 3 127872297 EEFSEC +
80820 7 36192758 EEPD1 +
79645 8 49647870 EFCAB1 -
90141 14 90421121 EFCAB11 -
90288 3 129147494 EFCAB12 -
124989 17 45400656 EFCAB13 +
9813 1 47184824 EFCAB14 -
84288 1 245133007 EFCAB2 +
146779 17 60447579 EFCAB3 +
374786 17 28256218 EFCAB5 +
64800 22 44208217 EFCAB6 -
84455 1 63989043 EFCAB7 +
388795 20 31446729 EFCAB8 +
285588 5 171621176 EFCAB9 +
79825 3 128720472 EFCC1 +
2202 2 56151274 EFEMP1 -
30008 11 65641063 EFEMP2 -
151651 3 19988517 EFHB -
114327 6 52285106 EFHC1 +
80303 2 233470767 EFHD1 +
79180 1 15736391 EFHD2 +
1942 1 155099936 EFNA1 +
1943 19 1286153 EFNA2 +
1944 1 155036224 EFNA3 +
1945 1 155036207 EFNA4 +
1946 5 107006596 EFNA5 -
1948 13 107187462 EFNB2 -
1949 17 7608520 EFNB3 +
23167 8 132916335 EFR3A +
22979 2 25264999 EFR3B +
10278 14 23834961 EFS -
79631 15 82555104 EFTUD1 -
9343 17 42977030 EFTUD2 -
1950 4 110834040 EGF +
51162 9 139553308 EGFL7 +
80864 6 32132360 EGFL8 +
133584 5 38258511 EGFLAM +
1956 7 55086714 EGFR +
54583 1 231560790 EGLN1 -
112398 19 41304901 EGLN2 +
112399 14 34931980 EGLN3 -
1958 5 137801179 EGR1 +
1959 10 64679660 EGR2 -
1960 8 22550815 EGR3 -
1961 2 73520833 EGR4 -
23301 2 62900986 EHBP1 +
254102 11 65343509 EHBP1L1 +
10938 11 64655768 EHD1 -
30846 19 48216600 EHD2 +
30845 2 31456880 EHD3 +
30844 15 42264776 EHD4 -
26298 11 34642640 EHF +
1962 3 184999778 EHHADH -
79813 9 140513444 EHMT1 +
10919 6 31865464 EHMT2 -
9538 11 125439112 EI24 +
23741 15 49170083 EID1 +
163126 19 40030870 EID2 -
126272 19 40023494 EID2B -
493861 12 104697517 EID3 +
10209 17 39845137 EIF1 +
84285 11 65769647 EIF1AD -
10289 3 40351175 EIF1B +
83939 3 150264465 EIF2A +
27102 7 6098861 EIF2AK1 -
5610 2 37384208 EIF2AK2 -
9451 2 88927094 EIF2AK3 -
440275 15 40226347 EIF2AK4 +
1967 12 124118313 EIF2B1 -
8892 14 75469614 EIF2B2 +
8891 1 45452282 EIF2B3 -
8890 2 27593353 EIF2B4 -
8893 3 183852826 EIF2B5 +
1939 1 206785904 EIF2D -
1965 14 67826714 EIF2S1 +
8894 20 32700138 EIF2S2 -
8661 10 120840316 EIF3A -
8662 7 2393721 EIF3B +
8663 16 28699879 EIF3C +
728689 16 28415200 EIF3CL -
8664 22 36925483 EIF3D -
3646 8 109447562 EIF3E -
8665 11 7991798 EIF3F +
8666 19 10230596 EIF3G -
8667 8 117779164 EIF3H -
8668 1 32687529 EIF3I +
8669 15 44829255 EIF3J +
27335 19 39109735 EIF3K +
51386 22 38244875 EIF3L +
10480 11 32605344 EIF3M +
1973 17 7476024 EIF4A1 +
1974 3 186500994 EIF4A2 +
9775 17 78120982 EIF4A3 -
1975 12 53399942 EIF4B +
1977 4 99851788 EIF4E -
253314 5 176057683 EIF4E1B +
9470 2 233414762 EIF4E2 +
317649 3 71803924 EIF4E3 -
1978 8 37887859 EIF4EBP1 +
1979 10 72164135 EIF4EBP2 +
8637 5 139927251 EIF4EBP3 +
56478 22 31892094 EIF4ENIF1 -
1981 3 184032283 EIF4G1 +
1982 11 10830657 EIF4G2 -
8672 1 21503377 EIF4G3 -
7458 7 73588575 EIF4H +
1983 14 103799881 EIF5 +
1984 17 7210318 EIF5A +
56648 3 170626482 EIF5A2 -
143244 10 81272357 EIF5AL1 +
9669 2 99953816 EIF5B +
3692 20 33872788 EIF6 -
55520 18 48494361 ELAC1 +
60528 17 12921504 ELAC2 -
1991 19 851014 ELANE +
1994 19 8070543 ELAVL1 -
1993 9 23826335 ELAVL2 -
1995 19 11591861 ELAVL3 -
1996 1 50513686 ELAVL4 +
1997 13 41635576 ELF1 -
1998 4 140098372 ELF2 -
1999 1 201977073 ELF3 +
2001 11 34535352 ELF5 -
392617 7 1727755 ELFN1 +
114794 22 37823505 ELFN2 -
2004 12 96588160 ELK3 +
2005 1 205601090 ELK4 -
8178 19 18632937 ELL -
22936 5 95297775 ELL2 -
80237 15 44069741 ELL3 -
9844 7 37488852 ELMO1 -
63916 20 45061704 ELMO2 -
79767 16 67233014 ELMO3 +
55531 11 107461817 ELMOD1 +
255520 4 141445312 ELMOD2 +
84173 2 85581517 ELMOD3 +
91748 14 74256988 ELMSAN1 -
2006 7 73442119 ELN +
84337 19 11670051 ELOF1 -
64834 1 43833696 ELOVL1 -
54898 6 11044547 ELOVL2 -
83401 10 103986085 ELOVL3 +
6785 6 80657297 ELOVL4 -
60481 6 53213947 ELOVL5 -
79071 4 111120355 ELOVL6 -
79993 5 60140216 ELOVL7 -
55250 18 33709407 ELP2 +
55140 8 27947190 ELP3 +
26610 11 31531297 ELP4 +
23587 17 7154735 ELP5 +
54859 3 47555251 ELP6 -
64100 19 48497908 ELSPBP1 +
133418 5 49739082 EMB -
23065 1 19578046 EMC1 -
284361 19 50979657 EMC10 +
9694 8 109455830 EMC2 +
55831 3 10052800 EMC3 -
51234 15 34517200 EMC4 +
83460 17 3572109 EMC6 +
56851 15 34394149 EMC7 -
10328 16 85833214 EMC8 -
51016 14 24610797 EMC9 -
51705 4 101801283 EMCN -
146956 17 48450581 EME1 +
197342 16 1823208 EME2 +
10436 12 7072408 EMG1 +
129080 22 29601840 EMID1 +
11117 2 27301435 EMILIN1 +
84034 18 2847028 EMILIN2 +
90187 20 39995467 EMILIN3 -
2009 14 100204030 EML1 +
24139 19 46148887 EML2 -
256364 11 62380237 EML3 -
27436 2 42396490 EML4 +
161436 14 89259096 EML5 -
400954 2 54950636 EML6 +
2012 12 13349650 EMP1 +
2013 16 10674555 EMP2 -
2014 19 48824766 EMP3 +
2016 2 73143389 EMX1 +
2018 10 119301955 EMX2 +
2019 2 119605254 EN1 -
2020 7 155250824 EN2 +
55740 1 225840844 ENAH -
10117 4 71494461 ENAM +
8507 5 73937249 ENC1 -
23052 11 94822974 ENDOD1 +
2021 9 131580753 ENDOG +
8909 12 48119350 ENDOU -
284131 17 78388965 ENDOV +
2022 9 130617035 ENG -
64772 17 77071021 ENGASE +
375704 9 34523039 ENHO -
84080 16 67701168 ENKD1 -
219670 10 25305089 ENKUR -
2023 1 8939308 ENO1 -
2026 12 7022909 ENO2 +
2027 17 4851387 ENO3 +
387712 10 118609023 ENO4 +
58478 4 83351715 ENOPH1 +
55556 18 712676 ENOSF1 -
55068 13 44361044 ENOX1 -
2028 4 111286889 ENPEP +
5167 6 132129156 ENPP1 +
